Instancia,Zonas,Alpha,Costo_Promedio,Costo_Std,Tiempo_Promedio
pequena_1.spp,4,0.2,1.2505429999999997,0.03675977837685904,0.18022349999999998
pequena_1.spp,4,0.3,1.3075554999999999,0.11680433343957392,0.18106135
pequena_1.spp,4,0.4,1.2684574999999998,0.05305816985307637,0.2545861
pequena_1.spp,4,0.5,1.2803314999999997,0.09745963187392002,0.14543489999999998
pequena_1.spp,5,0.2,1.2434729999999998,0.01658693369715107,0.28024945
pequena_1.spp,5,0.3,1.2459425,0.01812453378710748,0.27149195000000004
pequena_1.spp,5,0.4,1.2779215,0.04713142948182245,0.24002564999999992
pequena_1.spp,5,0.5,1.2695044999999996,0.05181391872287845,0.21713520000000003
pequena_1.spp,6,0.2,1.2385999999999995,4.556259157007654e-16,0.5064697
pequena_1.spp,6,0.3,1.2611645,0.03642300104329683,0.37270400000000004
pequena_1.spp,6,0.4,1.2774745,0.05021313295134524,0.32177504999999995
pequena_1.spp,6,0.5,1.3051335,0.05602525842726746,0.28496119999999997
pequena_2.spp,4,0.2,48.315575,5.587362731329277,1.811974
pequena_2.spp,4,0.3,42.404900000000005,5.047114916777494,1.6426385
pequena_2.spp,4,0.4,42.442075,4.2128100996434545,1.5370545000000002
pequena_2.spp,4,0.5,41.648855000000005,4.01516429859483,1.4164275000000002
pequena_2.spp,5,0.2,47.496925,3.698568699528451,2.9903939999999998
pequena_2.spp,5,0.3,41.527294999999995,4.275088143317231,2.6474444999999998
pequena_2.spp,5,0.4,42.148044999999996,4.498197236142145,2.3009755000000007
pequena_2.spp,5,0.5,42.04388999999999,3.5346979879772644,2.205883
pequena_2.spp,6,0.2,44.423795,3.862889271608821,4.081761500000001
pequena_2.spp,6,0.3,37.91775,2.8246416468567994,3.4976684999999996
pequena_2.spp,6,0.4,41.038995,3.405313072472578,3.1370510000000005
pequena_2.spp,6,0.5,41.13358000000001,5.157705620729557,2.8729055000000003
pequena_3.spp,4,0.2,15.497724999999999,0.25432323998159695,2.1574110000000006
pequena_3.spp,4,0.3,16.83331,2.309453480781706,1.7198895
pequena_3.spp,4,0.4,19.428874999999998,3.231561374267537,1.5692769999999998
pequena_3.spp,4,0.5,20.113205,3.8384596818152263,1.5259025
pequena_3.spp,5,0.2,14.954845,1.0697938023036822,3.385973000000001
pequena_3.spp,5,0.3,17.451305,1.858123059058593,2.7437285
pequena_3.spp,5,0.4,19.198495,2.1344116656340537,2.5159369999999996
pequena_3.spp,5,0.5,20.509059999999998,3.7827877529117258,2.365747
pequena_3.spp,6,0.2,14.716155,0.9820375217802072,4.7521595
pequena_3.spp,6,0.3,17.04038,1.8811806252569436,3.7942605
pequena_3.spp,6,0.4,19.859180000000002,2.776627033233706,3.4682310000000003
pequena_3.spp,6,0.5,21.554704999999995,3.4834749349758876,3.3699225000000004
pequena_4.spp,4,0.2,46.318709999999996,1.4875003797965018,11.386734500000001
pequena_4.spp,4,0.3,47.045465,1.4547920554154812,10.674749
pequena_4.spp,4,0.4,48.065905,1.4772618388423904,9.465105000000001
pequena_4.spp,4,0.5,49.639655,1.0377197063374362,8.629969499999998
pequena_4.spp,5,0.2,44.454375,2.444620036749872,17.7811
pequena_4.spp,5,0.3,44.507774999999995,1.9588679531206692,15.104484999999997
pequena_4.spp,5,0.4,45.861945,2.5303016147393644,14.515254999999996
pequena_4.spp,5,0.5,48.145765,3.1599626190785357,13.40995
pequena_4.spp,6,0.2,42.571509999999996,2.7964317140730763,25.800259999999998
pequena_4.spp,6,0.3,43.88098000000001,2.4703799440571887,22.248290000000004
pequena_4.spp,6,0.4,45.757279999999994,3.926600592798868,21.82611
pequena_4.spp,6,0.5,48.514849999999996,4.775724487171389,21.025699999999997
pequena_5.spp,4,0.2,7.6206885,0.31782859954243453,15.631125
pequena_5.spp,4,0.3,7.896824499999998,0.40646483150096185,14.170599999999999
pequena_5.spp,4,0.4,8.517971,0.7159581761520344,12.194444999999998
pequena_5.spp,4,0.5,8.568565000000001,0.6505341143245296,9.8402055
pequena_5.spp,5,0.2,7.286909499999998,0.5011762195546644,25.147474999999996
pequena_5.spp,5,0.3,7.3920245,0.4761417704896306,22.839549999999996
pequena_5.spp,5,0.4,7.8790260000000005,0.6773342372426279,18.242070000000002
pequena_5.spp,5,0.5,8.358747000000001,0.7356752598023555,15.230409999999997
pequena_5.spp,6,0.2,6.8925535,0.476777217965913,34.692235
pequena_5.spp,6,0.3,7.0622775,0.6065324850837275,29.902695000000005
pequena_5.spp,6,0.4,7.8093845,0.5349932122291982,24.83887
pequena_5.spp,6,0.5,7.983924000000002,0.6227971935710693,23.046435
